,Survey Year,Timestamp,SalaryUSD,Country,PostalCode,PrimaryDatabase,YearsWithThisDatabase,OtherDatabases,EmploymentStatus,JobTitle,ManageStaff,YearsWithThisTypeOfJob,HowManyCompanies,OtherPeopleOnYourTeam,CompanyEmployeesOverall,DatabaseServers,Education,EducationIsComputerRelated,Certifications,HoursWorkedPerWeek,TelecommuteDaysPerWeek,PopulationOfLargestCityWithin20Miles,EmploymentSector,LookingForAnotherJob,CareerPlansThisYear,Gender,OtherJobDuties,KindsOfTasksPerformed,Counter
2235,2017,2017-01-09 11:22:23.936,69000.0,United States,Not Asked,Microsoft SQL Server,7,"MySQL/MariaDB, Microsoft Access, Firebird",Full time employee,DBA,No,7,Not Asked,None,Not Asked,8,Bachelors (4 years),Yes,"Yes, but they expired",45,"None, or less than 1 day per week",Not Asked,Local government,No,Not Asked,Not Asked,Not Asked,Not Asked,1
647,2017,2017-01-05 12:10:56.354,130000.0,United States,Not Asked,Microsoft SQL Server,6,Azure SQL DB,Full time employee,Developer: T-SQL,No,6,Not Asked,1,Not Asked,15,Bachelors (4 years),No,"No, I never have",40,"None, or less than 1 day per week",Not Asked,Private business,No,Not Asked,Not Asked,Not Asked,Not Asked,1
1767,2017,2017-01-09 03:09:37.356,52382.0,United Kingdom,Not Asked,Microsoft SQL Server,8,PostgreSQL,Full time employee,"Developer: App code (C#, JS, etc)",No,12,Not Asked,1,Not Asked,2,Bachelors (4 years),Yes,"No, I never have",40,"None, or less than 1 day per week",Not Asked,Private business,No,Not Asked,Not Asked,Not Asked,Not Asked,1
6465,2019,2018-12-18 07:58:51.639,264000.0,Israel,,Microsoft SQL Server,7,Microsoft SQL Server,Full time employee,"DBA (Development Focus - tunes queries, indexes, does deployments)",No,10,2 (I worked at another similar position elsewhere before this one),None,6-99,10,Bachelors (4 years),Yes,"No, I never have",45,"None, or less than 1 day per week",1M+ (metropolis),Private business,"Yes, but only passively (just curious)","Stay with the same role, but change employers",Male,"DBA (Development Focus - tunes queries, indexes, does deployments), DBA (Production Focus - build & troubleshoot servers, HA/DR), DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers)","Build scripts & automation tools, Manual tasks, Meetings & management, On-call as part of a rotation, Projects, R&D",1
4918,2018,2017-12-20 11:29:15.423,65240.0,United States,37214,Microsoft SQL Server,15,"Oracle, MySQL/MariaDB, DB2, Microsoft Access, SQLite, Teradata",Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,5,Not Asked,None,Not Asked,4,None (no degree completed),,"No, I never have",60,5 or more,Not Asked,Private business,"Yes, but only passively (just curious)",Prefer not to say,Male,"Analyst, Developer: Business Intelligence (SSRS, PowerBI, etc), Developer: T-SQL","Build scripts & automation tools, Manual tasks, On-call 24/7/365, Projects",1
4917,2018,2017-12-20 11:28:13.940,43000.0,Netherlands,,Microsoft SQL Server,19,,Part time,"Developer: App code (C#, JS, etc)",No,20,Not Asked,None,Not Asked,5,None (no degree completed),No,"Yes, but they expired",32,5 or more,Not Asked,Private business,"Yes, but only passively (just curious)",Prefer not to say,Male,"DBA (Development Focus - tunes queries, indexes, does deployments), DBA (Production Focus - build & troubleshoot servers, HA/DR), DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers), Developer: T-SQL","Build scripts & automation tools, Projects",1
3984,2018,2017-12-18 09:57:09.605,98000.0,United States,80524,Microsoft SQL Server,7,"Microsoft SQL Server, Oracle, MySQL/MariaDB, MongoDB, Azure SQL DB",Full time employee of a consulting/contracting company,Engineer,No,1,Not Asked,5,Not Asked,20,None (no degree completed),,"Yes, and they're currently valid",42,"None, or less than 1 day per week",Not Asked,Private business,"Yes, actively looking for something else",Change both employers and roles,Male,"Analyst, Architect, DBA (Development Focus - tunes queries, indexes, does deployments), DBA (Production Focus - build & troubleshoot servers, HA/DR), DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers), Developer: Business Intelligence (SSRS, PowerBI, etc), Developer: T-SQL, Engineer","Build scripts & automation tools, Manual tasks, Meetings & management, Projects, R&D, Training/teaching",1
4231,2018,2017-12-19 03:57:36.120,70000.0,Australia,,Microsoft SQL Server,2,MySQL/MariaDB,Part time,"Developer: App code (C#, JS, etc)",No,2,Not Asked,None,Not Asked,1,None (no degree completed),No,"Yes, but they expired",24,"None, or less than 1 day per week",Not Asked,Private business,No,"Stay with the same employer, same role",Male,,Manual tasks,1
24,2017,2017-01-05 07:42:56.952,148000.0,United States,Not Asked,Microsoft SQL Server,16,,Full time employee,Developer: T-SQL,No,12,Not Asked,2,Not Asked,27,Masters,Yes,"Yes, and they're currently valid",40,2,Not Asked,Private business,"Yes, but only passively (just curious)",Not Asked,Not Asked,Not Asked,Not Asked,1
1088,2017,2017-01-05 18:58:40.393,127000.0,United States,Not Asked,Microsoft SQL Server,18,"Microsoft Access, Azure SQL DB",Full time employee of a consulting/contracting company,DBA,No,18,Not Asked,None,Not Asked,18,None (no degree completed),,"Yes, and they're currently valid",55,2,Not Asked,Federal government,"Yes, but only passively (just curious)",Not Asked,Not Asked,Not Asked,Not Asked,1
5481,2018,2017-12-26 10:20:54.872,125000.0,United States,37206,Microsoft SQL Server,10,,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",No,0,Not Asked,1,Not Asked,8,Bachelors (4 years),Yes,"No, I never have",40,1,Not Asked,Private business,No,"Stay with the same employer, same role",Male,"DBA (Development Focus - tunes queries, indexes, does deployments), Engineer","Build scripts & automation tools, Projects",1
2694,2017,2017-01-11 09:35:58.508,50000.0,United Kingdom,Not Asked,Microsoft SQL Server,6,"Microsoft SQL Server, PostgreSQL",Full time employee,DBA,No,3,Not Asked,None,Not Asked,31,None (no degree completed),,"No, I never have",45,"None, or less than 1 day per week",Not Asked,Private business,"Yes, but only passively (just curious)",Not Asked,Not Asked,Not Asked,Not Asked,1
3528,2018,2017-12-12 23:17:31.673,5214.0,India,641004,Microsoft SQL Server,3,"Microsoft SQL Server, MySQL/MariaDB, PostgreSQL, MongoDB, Cassandra, Azure SQL DB, Amazon RDS (any flavor)",Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",Yes,3,Not Asked,3,Not Asked,130,Associates (2 years),Yes,"Yes, and they're currently valid",90,1,Not Asked,Private business,"Yes, actively looking for something else",Change both employers and roles,Male,"DBA (Development Focus - tunes queries, indexes, does deployments), DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers)","Build scripts & automation tools, On-call as part of a rotation, Projects",1
112,2017,2017-01-05 08:43:49.010,95000.0,United States,Not Asked,Microsoft SQL Server,7,,Full time employee,DBA,No,7,Not Asked,None,Not Asked,150,Masters,Yes,"No, I never have",50,"None, or less than 1 day per week",Not Asked,Private business,No,Not Asked,Not Asked,Not Asked,Not Asked,1
2841,2017,2017-01-13 12:05:52.286,140000.0,United States,Not Asked,MySQL/MariaDB,5,Microsoft SQL Server,Full time employee,DBA,No,11,Not Asked,3,Not Asked,500,Bachelors (4 years),No,"Yes, but they expired",45,"None, or less than 1 day per week",Not Asked,Private business,No,Not Asked,Not Asked,Not Asked,Not Asked,1
2311,2017,2017-01-09 12:19:20.760,97000.0,United States,Not Asked,Microsoft SQL Server,15,"Oracle, Microsoft Access, vertica",Full time employee,Architect,No,2,Not Asked,None,Not Asked,20,Associates (2 years),Yes,"Yes, and they're currently valid",50,"None, or less than 1 day per week",Not Asked,Private business,"Yes, but only passively (just curious)",Not Asked,Not Asked,Not Asked,Not Asked,1
4772,2018,2017-12-20 10:04:55.526,113000.0,United States,,Microsoft SQL Server,17,"Oracle, Microsoft Access, SQLite",Full time employee,"Developer: App code (C#, JS, etc)",No,17,Not Asked,None,Not Asked,100,Associates (2 years),Yes,"No, I never have",60,5 or more,Not Asked,Private business,"Yes, but only passively (just curious)","Stay with the same employer, same role",Male,Developer: T-SQL,"Build scripts & automation tools, Meetings & management, On-call 24/7/365, Projects, R&D, Training/teaching",1
6547,2019,2018-12-21 17:32:55.392,103000.0,United States,98007,Microsoft SQL Server,5,Oracle,Full time employee of a consulting/contracting company,Analyst,Yes,4,3,4,1000 or more,20,None (no degree completed),,"No, I never have",45,"None, or less than 1 day per week",1M+ (metropolis),Private business,"Yes, but only passively (just curious)",Change both employers and roles,Male,"Developer: Business Intelligence (SSRS, PowerBI, etc), Developer: T-SQL, Manager","Manual tasks, Meetings & management, Projects, Training/teaching",1
56,2017,2017-01-05 08:01:48.290,55000.0,South Africa,Not Asked,Microsoft SQL Server,16,"Microsoft SQL Server, PostgreSQL, MongoDB, Sybase",Full time employee,Developer: T-SQL,No,4,Not Asked,4,Not Asked,4,Associates (2 years),No,"Yes, but they expired",40,1,Not Asked,Private business,"Yes, but only passively (just curious)",Not Asked,Not Asked,Not Asked,Not Asked,1
1309,2017,2017-01-06 07:40:23.391,27000.0,Turkey,Not Asked,Oracle,7,"Microsoft SQL Server, Cassandra, Teradata",Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",No,7,Not Asked,More than 5,Not Asked,10,Bachelors (4 years),Yes,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Not Asked,Private business,"Yes, but only passively (just curious)",Not Asked,Not Asked,Not Asked,Not Asked,1
695,2017,2017-01-05 12:29:17.832,110000.0,United States,Not Asked,Microsoft SQL Server,18,Microsoft Access,Full time employee,DBA,No,4,Not Asked,None,Not Asked,50,Bachelors (4 years),No,"Yes, but they expired",45,"None, or less than 1 day per week",Not Asked,Private business,No,Not Asked,Not Asked,Not Asked,Not Asked,1
5234,2018,2017-12-21 04:55:25.532,7500.0,Ghana,,Microsoft SQL Server,4,MySQL/MariaDB,Full time employee,"Developer: App code (C#, JS, etc)",Yes,8,Not Asked,2,Not Asked,2,Associates (2 years),Yes,"Yes, but they expired",40,"None, or less than 1 day per week",Not Asked,Private business,"Yes, but only passively (just curious)",Change both employers and roles,Male,"Developer: App code (C#, JS, etc)","Build scripts & automation tools, Meetings & management, On-call as part of a rotation, Projects, Training/teaching",1
1227,2017,2017-01-06 03:04:47.044,50000.0,United Kingdom,Not Asked,Microsoft SQL Server,20,Microsoft SQL Server,Full time employee,DBA,No,15,Not Asked,3,Not Asked,200,Bachelors (4 years),Yes,"Yes, but they expired",38,"None, or less than 1 day per week",Not Asked,Local government,"Yes, but only passively (just curious)",Not Asked,Not Asked,Not Asked,Not Asked,1
1999,2017,2017-01-09 09:07:24.717,41535.0,United Kingdom,Not Asked,Microsoft SQL Server,3,,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",No,3,Not Asked,1,Not Asked,6,Bachelors (4 years),No,"No, I never have",40,"None, or less than 1 day per week",Not Asked,Private business,"Yes, but only passively (just curious)",Not Asked,Not Asked,Not Asked,Not Asked,1
276,2017,2017-01-05 11:14:14.985,110000.0,Canada,Not Asked,Microsoft SQL Server,16,"MySQL/MariaDB, SQLite, Azure SQL DB",Independent or freelancer or company owner,"Developer: App code (C#, JS, etc)",Yes,5,Not Asked,1,Not Asked,7,None (no degree completed),,"Yes, and they're currently valid",60,5 or more,Not Asked,Private business,No,Not Asked,Not Asked,Not Asked,Not Asked,1
5275,2018,2017-12-21 10:10:35.221,135000.0,United States,78757,Microsoft SQL Server,20,,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,4,Not Asked,2,Not Asked,15,Bachelors (4 years),No,"Yes, but they expired",45,2,Not Asked,Private business,No,"Stay with the same employer, same role",Male,"Architect, DBA (Development Focus - tunes queries, indexes, does deployments), Developer: T-SQL","Build scripts & automation tools, Manual tasks, On-call 24/7/365, Projects, Training/teaching",1
3887,2018,2017-12-16 17:11:22.333,45567.0,Lithuania,,Microsoft SQL Server,6,,Full time employee,Developer: T-SQL,No,1,Not Asked,1,Not Asked,14,Bachelors (4 years),Yes,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Not Asked,Private business,"Yes, but only passively (just curious)","Stay with the same employer, same role",Male,"Developer: Business Intelligence (SSRS, PowerBI, etc)","Build scripts & automation tools, Manual tasks, Projects",1
1833,2017,2017-01-09 06:42:07.042,55000.0,Netherlands,Not Asked,Microsoft SQL Server,5,"Oracle, PostgreSQL",Full time employee,DBA,No,5,Not Asked,None,Not Asked,50,None (no degree completed),No,"Yes, and they're currently valid",38,1,Not Asked,Private business,No,Not Asked,Not Asked,Not Asked,Not Asked,1
5462,2018,2017-12-25 20:27:31.795,70000.0,United States,1752,Microsoft SQL Server,4,"Oracle, Microsoft Access",Full time employee,Developer: T-SQL,No,4,Not Asked,1,Not Asked,2,Bachelors (4 years),No,"No, I never have",40,"None, or less than 1 day per week",Not Asked,Private business,"Yes, actively looking for something else","Stay with the same role, but change employers",Male,"Architect, DBA (Development Focus - tunes queries, indexes, does deployments)","Build scripts & automation tools, Manual tasks, Projects",1
682,2017,2017-01-05 12:24:40.735,120000.0,United States,Not Asked,Microsoft SQL Server,15,"MySQL/MariaDB, PostgreSQL",Full time employee,DBA,Yes,4,Not Asked,1,Not Asked,40,None (no degree completed),,"Yes, and they're currently valid",40,1,Not Asked,Private business,No,Not Asked,Not Asked,Not Asked,Not Asked,1
5230,2018,2017-12-21 03:51:47.527,80200.0,United Kingdom,,Microsoft SQL Server,10,,Full time employee,"Developer: App code (C#, JS, etc)",Yes,10,Not Asked,None,Not Asked,4,None (no degree completed),,"No, I never have",37,1,Not Asked,Private business,No,"Stay with the same employer, same role",Male,"Analyst, Architect, Manager","Build scripts & automation tools, Meetings & management, Projects",1
4984,2018,2017-12-20 12:01:43.234,91000.0,United States,3062,Microsoft SQL Server,8,"Microsoft SQL Server, Oracle",Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",No,8,Not Asked,2,Not Asked,8,Associates (2 years),Yes,"No, I never have",40,"None, or less than 1 day per week",Not Asked,"Education (K-12, college, university)",No,"Stay with the same employer, same role",Male,"Architect, DBA (Development Focus - tunes queries, indexes, does deployments), Developer: T-SQL",Projects,1
3832,2018,2017-12-15 22:57:58.291,20600.0,Nicaragua,,PostgreSQL,7,"Microsoft SQL Server, MySQL/MariaDB",Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,7,Not Asked,3,Not Asked,70,Masters,Yes,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Not Asked,Local government,"Yes, actively looking for something else","Stay with the same role, but change employers",Male,"DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers), Developer: App code (C#, JS, etc)","Build scripts & automation tools, Manual tasks, R&D",1
1137,2017,2017-01-05 22:32:09.507,11300.0,India,Not Asked,Microsoft SQL Server,4,Microsoft SQL Server,Full time employee,DBA,Yes,1,Not Asked,More than 5,Not Asked,10000,Masters,Yes,"No, I never have",45,"None, or less than 1 day per week",Not Asked,Private business,"Yes, but only passively (just curious)",Not Asked,Not Asked,Not Asked,Not Asked,1
2767,2017,2017-01-12 09:20:22.390,79000.0,United States,Not Asked,Microsoft SQL Server,25,"Oracle, MySQL/MariaDB, DB2, SQLite",Full time employee,"Developer: App code (C#, JS, etc)",No,28,Not Asked,More than 5,Not Asked,20,Bachelors (4 years),Yes,"Yes, and they're currently valid",64,"None, or less than 1 day per week",Not Asked,State/province government,No,Not Asked,Not Asked,Not Asked,Not Asked,1
4610,2018,2017-12-20 08:29:25.041,84000.0,United States,32779,Microsoft SQL Server,15,Microsoft Access,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,9,Not Asked,1,Not Asked,20,Associates (2 years),No,"No, I never have",40,1,Not Asked,Private business,No,"Stay with the same employer, same role",Male,"Architect, Developer: T-SQL","Build scripts & automation tools, Manual tasks, Projects",1
4333,2018,2017-12-19 11:32:37.680,160000.0,United States,91321,Microsoft SQL Server,15,Oracle,Full time employee,"DBA (Development Focus - tunes queries, indexes, does deployments)",No,4,Not Asked,1,Not Asked,50,Bachelors (4 years),No,"Yes, and they're currently valid",50,1,Not Asked,Private business,No,"Stay with the same employer, same role",Male,Developer: T-SQL,"Build scripts & automation tools, Manual tasks, Meetings & management, Projects",1
4017,2018,2017-12-18 11:29:38.176,108000.0,United States,60099,Microsoft SQL Server,6,,Full time employee,Developer: T-SQL,No,1,Not Asked,More than 5,Not Asked,4,Bachelors (4 years),Yes,"Yes, and they're currently valid",40,1,Not Asked,Private business,No,"Stay with the same employer, same role",Male,"DBA (Development Focus - tunes queries, indexes, does deployments)","Build scripts & automation tools, On-call as part of a rotation, Projects, R&D",1
1036,2017,2017-01-05 17:07:02.313,70000.0,New Zealand,Not Asked,Oracle,1,Microsoft SQL Server,Full time employee,Engineer,No,1,Not Asked,None,Not Asked,25,None (no degree completed),,"No, I never have",40,"None, or less than 1 day per week",Not Asked,Private business,No,Not Asked,Not Asked,Not Asked,Not Asked,1
4055,2018,2017-12-18 13:01:38.603,63000.0,United States,78748,PostgreSQL,2,Amazon RDS (any flavor),Full time employee,Analyst,No,3,Not Asked,1,Not Asked,2,Bachelors (4 years),Yes,"No, I never have",40,"None, or less than 1 day per week",Not Asked,Private business,"Yes, but only passively (just curious)","Stay with the same employer, same role",Male,"Analyst, Developer: Business Intelligence (SSRS, PowerBI, etc)","Build scripts & automation tools, Manual tasks, Meetings & management, Projects, R&D",1
5553,2018,2017-12-26 15:24:21.577,40000.0,United States,67401,Microsoft SQL Server,17,"Microsoft SQL Server, MySQL/MariaDB, Microsoft Access",Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",Yes,21,Not Asked,None,Not Asked,3,None (no degree completed),,"No, I never have",40,"None, or less than 1 day per week",Not Asked,Private business,"Yes, actively looking for something else",Change both employers and roles,Male,Manager,On-call 24/7/365,1
1346,2017,2017-01-06 09:09:30.793,95000.0,United States,Not Asked,Microsoft SQL Server,20,"Oracle, MySQL/MariaDB, PostgreSQL, DB2, Microsoft Access",Full time employee,DBA,No,12,Not Asked,None,Not Asked,45,Masters,No,"Yes, and they're currently valid",55,1,Not Asked,Private business,No,Not Asked,Not Asked,Not Asked,Not Asked,1
4979,2018,2017-12-20 11:56:50.537,58000.0,United States,35401,Microsoft SQL Server,1,Azure SQL DB,Full time employee,Developer: T-SQL,No,1,Not Asked,5,Not Asked,15,Bachelors (4 years),Yes,"No, I never have",40,"None, or less than 1 day per week",Not Asked,Private business,"Yes, but only passively (just curious)","Stay with the same employer, same role",Male,,"Build scripts & automation tools, Projects",1
4764,2018,2017-12-20 09:58:31.396,95000.0,United States,98005,Microsoft SQL Server,14,"Microsoft SQL Server, Oracle, MySQL/MariaDB, PostgreSQL, Azure SQL DB, Amazon RDS (any flavor)",Full time employee of a consulting/contracting company,"Developer: Business Intelligence (SSRS, PowerBI, etc)",No,1,Not Asked,More than 5,Not Asked,200,Masters,Yes,"Yes, and they're currently valid",40,1,Not Asked,Private business,"Yes, but only passively (just curious)","Stay with the same employer,  but change roles",Male,"DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers), Developer: T-SQL, Engineer","Build scripts & automation tools, Manual tasks, R&D",1
2784,2017,2017-01-12 14:44:24.225,107000.0,United States,Not Asked,Microsoft SQL Server,8,,Full time employee of a consulting/contracting company,DBA,No,2,Not Asked,More than 5,Not Asked,8,Masters,No,"No, I never have",40,"None, or less than 1 day per week",Not Asked,State/province government,No,Not Asked,Not Asked,Not Asked,Not Asked,1
4335,2018,2017-12-19 11:35:05.160,79000.0,United States,77002,Microsoft SQL Server,15,"Oracle, MySQL/MariaDB",Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,25,Not Asked,2,Not Asked,75,Bachelors (4 years),Yes,"Yes, but they expired",45,"None, or less than 1 day per week",Not Asked,"Education (K-12, college, university)","Yes, but only passively (just curious)","Stay with the same employer, same role",Male,"Analyst, DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers)","Build scripts & automation tools, Manual tasks, Meetings & management, On-call 24/7/365, Projects, R&D, Training/teaching",1
2384,2017,2017-01-09 13:57:23.229,85000.0,United States,Not Asked,Microsoft SQL Server,5,"Microsoft SQL Server, Microsoft Access",Full time employee,DBA,No,3,Not Asked,None,Not Asked,25,Bachelors (4 years),Yes,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Not Asked,Private business,No,Not Asked,Not Asked,Not Asked,Not Asked,1
2988,2018,2017-12-11 14:10:42.074,24000.0,Russia,,Microsoft SQL Server,10,"Microsoft SQL Server, Oracle, MySQL/MariaDB, SQLite",Full time employee,"Developer: App code (C#, JS, etc)",No,2,Not Asked,None,Not Asked,3,Masters,Yes,"Yes, but they expired",50,5 or more,Not Asked,Private business,No,"Stay with the same employer, same role",Male,"Analyst, Architect, Developer: App code (C#, JS, etc)","Build scripts & automation tools, Projects",1
115,2017,2017-01-05 08:45:35.893,140000.0,United States,Not Asked,Microsoft SQL Server,11,Azure SQL DB,Full time employee of a consulting/contracting company,Engineer,No,6,Not Asked,2,Not Asked,120,Bachelors (4 years),No,"Yes, and they're currently valid",55,3,Not Asked,Private business,"Yes, but only passively (just curious)",Not Asked,Not Asked,Not Asked,Not Asked,1
4800,2018,2017-12-20 10:14:44.192,115000.0,United States,18018,Microsoft SQL Server,12,Microsoft SQL Server,Full time employee,Manager,Yes,8,Not Asked,None,Not Asked,20,Bachelors (4 years),Yes,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Not Asked,Local government,No,"Stay with the same employer, same role",Male,"Analyst, Architect, DBA (Development Focus - tunes queries, indexes, does deployments), DBA (Production Focus - build & troubleshoot servers, HA/DR), Developer: Business Intelligence (SSRS, PowerBI, etc), Manager","Build scripts & automation tools, Manual tasks, Meetings & management, On-call 24/7/365, Projects, R&D",1
6858,2019,2019-01-02 09:52:22.879,134000.0,United States,46130,Microsoft SQL Server,19,PostgreSQL,Full time employee,Engineer,No,13,2 (I worked at another similar position elsewhere before this one),3,1000 or more,1000,None (no degree completed),,"Yes, and they're currently valid",40,1,1M+ (metropolis),Private business,No,"Stay with the same employer,  but change roles",Male,"Developer: App code (C#, JS, etc), Developer: T-SQL","Build scripts & automation tools, Manual tasks, Meetings & management, Projects, Training/teaching",1
3119,2018,2017-12-12 11:27:22.020,195000.0,United States,94103,Microsoft SQL Server,5,"MySQL/MariaDB, PostgreSQL, MongoDB, Redis, Amazon RDS (any flavor), Netezza",Full time employee,Architect,No,4,Not Asked,2,Not Asked,25,Bachelors (4 years),No,"Yes, and they're currently valid",45,2,Not Asked,Private business,"Yes, but only passively (just curious)","Stay with the same employer, same role",Male,"Analyst, DBA (Development Focus - tunes queries, indexes, does deployments), Developer: T-SQL, Engineer","Build scripts & automation tools, Manual tasks, Meetings & management, Projects, R&D",1
5410,2018,2017-12-22 15:47:31.476,90000.0,United States,60016,Microsoft SQL Server,12,"Oracle, Microsoft Access, Azure SQL DB",Full time employee,Developer: T-SQL,No,9,Not Asked,1,Not Asked,15,Bachelors (4 years),No,"Yes, but they expired",42,1,Not Asked,Private business,"Yes, but only passively (just curious)",Change both employers and roles,Male,"Analyst, Developer: App code (C#, JS, etc)","Build scripts & automation tools, Manual tasks, Meetings & management, On-call as part of a rotation",1
3497,2018,2017-12-12 18:25:54.944,95000.0,United States,46410,Microsoft SQL Server,19,"MySQL/MariaDB, DB2, Microsoft Access, SAP, Azure SQL DB",Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,19,Not Asked,2,Not Asked,150,Bachelors (4 years),No,"Yes, but they expired",50,5 or more,Not Asked,Private business,No,"Stay with the same employer, same role",Male,Developer: T-SQL,"Build scripts & automation tools, Manual tasks, Meetings & management, On-call as part of a rotation, On-call 24/7/365, Projects, Training/teaching",1
6066,2019,2018-12-11 08:30:17.088,110000.0,United States,97204,Microsoft SQL Server,15,"Microsoft SQL Server, MySQL/MariaDB",Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,15,2 (I worked at another similar position elsewhere before this one),None,1000 or more,20,Masters,No,"Yes, but they expired",40,"None, or less than 1 day per week",1M+ (metropolis),Non-profit,"Yes, but only passively (just curious)","Stay with the same employer, same role",Male,Engineer,"Build scripts & automation tools, Meetings & management, Projects, Training/teaching",1
2819,2017,2017-01-13 09:34:39.809,95000.0,Switzerland,Not Asked,Oracle,2,"Microsoft SQL Server, MySQL/MariaDB, PostgreSQL",Full time employee,DBA,No,2,Not Asked,More than 5,Not Asked,20,Masters,Yes,"No, I never have",43,"None, or less than 1 day per week",Not Asked,State/province government,No,Not Asked,Not Asked,Not Asked,Not Asked,1
5041,2018,2017-12-20 12:57:28.510,146000.0,United States,94105,Microsoft SQL Server,11,Microsoft SQL Server,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",Yes,2,Not Asked,3,Not Asked,100,Masters,Yes,"Yes, and they're currently valid",40,3,Not Asked,Private business,No,"Stay with the same employer,  but change roles",Male,,"Build scripts & automation tools, Manual tasks, Meetings & management, On-call as part of a rotation, On-call 24/7/365, Projects, R&D, Training/teaching",1
6707,2019,2018-12-24 19:12:10.842,79000.0,United States,60540,Microsoft SQL Server,4,"Microsoft SQL Server, Oracle, SQLite",Full time employee,Developer: T-SQL,No,3,1 (this is the only company where I've had this kind of position),1,6-99,10,None (no degree completed),,"Yes, but they expired",48,"None, or less than 1 day per week",1M+ (metropolis),Private business,"Yes, but only passively (just curious)","Stay with the same role, but change employers",Male,"DBA (Development Focus - tunes queries, indexes, does deployments)","Manual tasks, Meetings & management, On-call 24/7/365, Projects, R&D, Training/teaching",1
5735,2018,2017-12-30 16:17:35.419,155000.0,United States,53593,Microsoft SQL Server,6,"Microsoft SQL Server, Oracle, SAP, Azure SQL DB",Full time employee,Engineer,Yes,6,Not Asked,More than 5,Not Asked,300,Bachelors (4 years),Yes,"Yes, and they're currently valid",68,"None, or less than 1 day per week",Not Asked,Private business,"Yes, but only passively (just curious)","Stay with the same employer,  but change roles",Male,"DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers), Developer: T-SQL, Engineer, Manager","Build scripts & automation tools, Manual tasks, Meetings & management, On-call as part of a rotation, Projects, R&D, Training/teaching",1
5668,2018,2017-12-28 10:33:47.368,30000.0,Russia,198152,Microsoft SQL Server,10,Microsoft SQL Server,Full time employee of a consulting/contracting company,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),Yes,3,Not Asked,1,Not Asked,12,Masters,Yes,"No, I never have",50,"None, or less than 1 day per week",Not Asked,Private business,"Yes, but only passively (just curious)","Stay with the same employer,  but change roles",Male,Developer: T-SQL,"Build scripts & automation tools, Manual tasks, Meetings & management, On-call as part of a rotation, On-call 24/7/365",1
81,2017,2017-01-05 08:20:57.124,60000.0,Sweden,Not Asked,Microsoft SQL Server,10,Microsoft SQL Server,Full time employee of a consulting/contracting company,DBA,No,17,Not Asked,1,Not Asked,100,None (no degree completed),,"Yes, and they're currently valid",35,1,Not Asked,Private business,No,Not Asked,Not Asked,Not Asked,Not Asked,1
3021,2018,2017-12-11 19:11:30.229,106000.0,United States,96001,Microsoft SQL Server,7,Microsoft Access,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,1,Not Asked,More than 5,Not Asked,12,None (no degree completed),,"No, I never have",45,5 or more,Not Asked,Private business,No,"Stay with the same employer, same role",Male,"Developer: T-SQL, Engineer","Build scripts & automation tools, Manual tasks, On-call as part of a rotation, Projects, Training/teaching",1
1972,2017,2017-01-09 08:52:57.962,62500.0,United States,Not Asked,Microsoft SQL Server,3,,Full time employee,Analyst,No,3,Not Asked,1,Not Asked,2,Bachelors (4 years),Yes,"No, I never have",40,1,Not Asked,Private business,No,Not Asked,Not Asked,Not Asked,Not Asked,1
